"id","frame_id","equipment_id","equipment_class","timestamp","current_state","current_activity","motion_source","total_tracked_seconds","total_active_seconds","total_idle_seconds","utilization_percent","recorded_at"
1,29,"EX-001","excavator","0:00:00.967","IDLE","IDLE","arm_only","1","0","1","0","2026-04-05 21:49:03.777431"
2,58,"EX-001","excavator","0:00:01.935","ACTIVE","DIGGING","arm_only","1.9","0.4","1.5","20.7","2026-04-05 21:49:10.261441"
3,87,"EX-001","excavator","0:00:02.902","ACTIVE","DIGGING","arm_only","2.9","1.4","1.5","47.1","2026-04-05 21:49:17.142075"
4,116,"EX-001","excavator","0:00:03.870","ACTIVE","DIGGING","arm_only","3.9","2.3","1.5","60.3","2026-04-05 21:49:23.450473"
5,145,"EX-001","excavator","0:00:04.838","ACTIVE","DIGGING","arm_only","4.8","3.3","1.5","68.3","2026-04-05 21:49:29.776485"
6,174,"EX-001","excavator","0:00:05.805","ACTIVE","DIGGING","arm_only","5.8","4.3","1.5","73.6","2026-04-05 21:49:36.231837"
7,203,"EX-001","excavator","0:00:06.773","ACTIVE","DIGGING","arm_only","6.8","5.2","1.5","77.3","2026-04-05 21:49:42.26978"
8,232,"EX-001","excavator","0:00:07.741","ACTIVE","DIGGING","arm_only","7.7","6.2","1.5","80.2","2026-04-05 21:49:48.274147"
9,261,"EX-001","excavator","0:00:08.708","ACTIVE","DIGGING","arm_only","8.7","7.2","1.5","82.4","2026-04-05 21:49:54.69447"
10,290,"EX-001","excavator","0:00:09.676","ACTIVE","DIGGING","arm_only","9.7","8.1","1.5","84.1","2026-04-05 21:50:00.82031"
11,319,"EX-001","excavator","0:00:10.643","ACTIVE","DUMPING PAYLOAD","arm_only","10.6","9.1","1.5","85.6","2026-04-05 21:50:06.885876"
12,348,"EX-001","excavator","0:00:11.611","ACTIVE","DUMPING PAYLOAD","arm_only","11.6","10.1","1.5","86.8","2026-04-05 21:50:14.025034"
13,377,"EX-001","excavator","0:00:12.579","ACTIVE","DUMPING PAYLOAD","arm_only","12.6","11","1.5","87.8","2026-04-05 21:50:20.496708"
14,406,"EX-001","excavator","0:00:13.546","ACTIVE","DUMPING PAYLOAD","arm_only","13.5","12","1.5","88.7","2026-04-05 21:50:26.809808"
15,435,"EX-001","excavator","0:00:14.514","ACTIVE","DUMPING PAYLOAD","arm_only","14.5","13","1.5","89.4","2026-04-05 21:50:33.493166"
16,464,"EX-001","excavator","0:00:15.482","ACTIVE","DUMPING PAYLOAD","arm_only","15.5","13.9","1.5","90.1","2026-04-05 21:50:40.027326"
17,493,"EX-001","excavator","0:00:16.449","ACTIVE","DUMPING PAYLOAD","arm_only","16.4","14.9","1.5","90.7","2026-04-05 21:50:46.24945"
18,522,"EX-001","excavator","0:00:17.417","ACTIVE","DUMPING PAYLOAD","arm_only","17.4","15.9","1.5","91.2","2026-04-05 21:50:52.412712"
19,551,"EX-001","excavator","0:00:18.385","ACTIVE","DUMPING PAYLOAD","arm_only","18.4","16.9","1.5","91.7","2026-04-05 21:50:59.116753"
20,580,"EX-001","excavator","0:00:19.352","ACTIVE","DUMPING PAYLOAD","arm_only","19.4","17.8","1.5","92.1","2026-04-05 21:51:05.504477"
21,609,"EX-001","excavator","0:00:20.320","ACTIVE","DUMPING PAYLOAD","arm_only","20.3","18.8","1.5","92.4","2026-04-05 21:51:12.182412"
22,638,"EX-001","excavator","0:00:21.287","ACTIVE","DUMPING PAYLOAD","arm_only","21.3","19.8","1.5","92.8","2026-04-05 21:51:19.186863"
23,29,"EX-001","excavator","0:00:00.967","IDLE","IDLE","arm_only","1","0","1","0","2026-04-05 22:19:45.697068"
24,58,"EX-001","excavator","0:00:01.935","ACTIVE","DIGGING","arm_only","1.9","0.4","1.5","20.7","2026-04-05 22:19:52.520495"
25,87,"EX-001","excavator","0:00:02.902","ACTIVE","DIGGING","arm_only","2.9","1.4","1.5","47.1","2026-04-05 22:19:59.373238"
26,116,"EX-001","excavator","0:00:03.870","ACTIVE","DIGGING","arm_only","3.9","2.3","1.5","60.3","2026-04-05 22:20:07.012305"
27,145,"EX-001","excavator","0:00:04.838","ACTIVE","DIGGING","arm_only","4.8","3.3","1.5","68.3","2026-04-05 22:20:15.626814"
28,174,"EX-001","excavator","0:00:05.805","ACTIVE","DIGGING","arm_only","5.8","4.3","1.5","73.6","2026-04-05 22:20:23.167778"
29,203,"EX-001","excavator","0:00:06.773","ACTIVE","DIGGING","arm_only","6.8","5.2","1.5","77.3","2026-04-05 22:20:30.288568"
30,232,"EX-001","excavator","0:00:07.741","ACTIVE","DIGGING","arm_only","7.7","6.2","1.5","80.2","2026-04-05 22:20:37.493787"
31,261,"EX-001","excavator","0:00:08.708","ACTIVE","DIGGING","arm_only","8.7","7.2","1.5","82.4","2026-04-05 22:20:44.666432"
32,290,"EX-001","excavator","0:00:09.676","ACTIVE","DIGGING","arm_only","9.7","8.1","1.5","84.1","2026-04-05 22:20:52.037333"
33,319,"EX-001","excavator","0:00:10.643","ACTIVE","DUMPING PAYLOAD","arm_only","10.6","9.1","1.5","85.6","2026-04-05 22:20:59.173155"
34,348,"EX-001","excavator","0:00:11.611","ACTIVE","DUMPING PAYLOAD","arm_only","11.6","10.1","1.5","86.8","2026-04-05 22:21:06.661224"
35,377,"EX-001","excavator","0:00:12.579","ACTIVE","DUMPING PAYLOAD","arm_only","12.6","11","1.5","87.8","2026-04-05 22:21:14.104643"
36,406,"EX-001","excavator","0:00:13.546","ACTIVE","DUMPING PAYLOAD","arm_only","13.5","12","1.5","88.7","2026-04-05 22:21:21.986308"
37,435,"EX-001","excavator","0:00:14.514","ACTIVE","DUMPING PAYLOAD","arm_only","14.5","13","1.5","89.4","2026-04-05 22:21:30.219142"
38,464,"EX-001","excavator","0:00:15.482","ACTIVE","DUMPING PAYLOAD","arm_only","15.5","13.9","1.5","90.1","2026-04-05 22:21:37.879316"
39,493,"EX-001","excavator","0:00:16.449","ACTIVE","DUMPING PAYLOAD","arm_only","16.4","14.9","1.5","90.7","2026-04-05 22:21:44.795442"
40,522,"EX-001","excavator","0:00:17.417","ACTIVE","DUMPING PAYLOAD","arm_only","17.4","15.9","1.5","91.2","2026-04-05 22:21:51.135237"
41,551,"EX-001","excavator","0:00:18.385","ACTIVE","DUMPING PAYLOAD","arm_only","18.4","16.9","1.5","91.7","2026-04-05 22:21:58.199972"
